0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
4376 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /Users/ankittharwani/Work/os/solr/data/bdddatalineage/conf
4376 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/conf/}
4376 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/conf
4376 [coreLoadExecutor-4-thread-3] WARN  org.apache.solr.rest.ManagedResource  – No stored data found for /rest/managed
4377 [coreLoadExecutor-4-thread-3] WARN  org.apache.solr.rest.ManagedResource  – No registered observers for /rest/managed
4377 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4377 [searcherExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] Registered new searcher Searcher@23c59dfc[bdddatalineage] main{StandardDirectoryReader(segments_2:7:nrt _1(4.8):C16)}
4377 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.CoreContainer  – registering core: bdddatalineage
4380 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/usr/local/Cellar/solr/4.8.1/libexec/example
4380 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
4475 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
1642644 [qtp600746945-20] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery2140030912165995687246_1447894636432&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=101 
1645001 [qtp600746945-20] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery2140030912165995687246_1447894636432&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=10 
1645533 [qtp600746945-20] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery2140030912165995687246_1447894636432&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447894636433} hits=4 status=0 QTime=3 
1705993 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21409750990786124021_1447897394963&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=4 
1707565 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*t*)&json.wrf=jQuery21409750990786124021_1447897394963&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=3 
1708069 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tv*)&json.wrf=jQuery21409750990786124021_1447897394963&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=0 status=0 QTime=4 
1709622 [qtp600746945-15] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21409750990786124021_1447897394963&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897394964} hits=4 status=0 QTime=1 
1766802 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db1*)&json.wrf=jQuery21403741210112348199_1447897454787&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=14 status=0 QTime=6 
1768801 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21403741210112348199_1447897454787&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=6 
1769526 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21403741210112348199_1447897454787&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897454788} hits=4 status=0 QTime=1 
1801899 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_2)&json.wrf=jQuery21403741210112348199_1447897454787&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897454789} hits=9 status=0 QTime=1 
1827779 [qtp600746945-13] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21403741210112348199_1447897454787&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897454790} hits=4 status=0 QTime=1 
2020740 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*tb*)&json.wrf=jQuery21406909011541865766_1447897709392&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=6 
2021401 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*t*)&json.wrf=jQuery21406909011541865766_1447897709392&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=0 status=0 QTime=4 
2021910 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery21406909011541865766_1447897709392&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=5 
2023795 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:db1+AND+tTb:*tb*)&json.wrf=jQuery21406909011541865766_1447897709392&group.main=true&fl=tTb&wt=json&group.field=tTb&group=true} hits=14 status=0 QTime=5 
2025067 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select params={q=(tDb:db1+AND+tTb:tbl1_1)&json.wrf=jQuery21406909011541865766_1447897709392&sort=sDb+asc&sort=sTb+asc&rows=1000&wt=json&_=1447897709393} hits=4 status=0 QTime=2 
2130384 [qtp600746945-19] INFO  org.apache.solr.core.SolrCore  – [bdddatalineage] webapp=/solr path=/select/ params={q=(tDb:*db*)&json.wrf=jQuery214023229501745663583_1447897817639&group.main=true&fl=tDb&wt=json&group.field=tDb&group=true} hits=16 status=0 QTime=4 
